What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
22-24,Male,China,Master’s degree,Data Analyst,Large,5-9,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,Local development environments,3-5 years,Python,Never,2-3 years
22-24,Male,India,Bachelor’s degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
18-21,Male,Pakistan,Some college/university study without earning a bachelor’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),$0-999,$0 (USD),Other,< 1 years,Python,Used TPU,< 1 years
22-24,Male,Belarus,Master’s degree,Software Engineer,Enterprise,0,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
22-24,Male,India,Bachelor’s degree,Data Analyst,Medium,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,Pakistan,Bachelor’s degree,Software Engineer,Small,0,No (we do not use ML methods),"30,000-39,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,India,Master’s degree,Data Analyst,Large,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",$1-$99,Local development environments,1-2 years,Python,Used TPU,< 1 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,Enterprise,0,I do not know,"50,000-59,999",$0 (USD),Local development environments,5-10 years,Python,Never,< 1 years
30-34,Male,Netherlands,Bachelor’s degree,Data Analyst,Small,0,I do not know,$0-999,$1-$99,Basic statistical software,3-5 years,Python,Never,1-2 years
30-34,Male,India,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,3-5 years,Python,Never,4-5 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,Local development environments,5-10 years,Python,Never,3-4 years
35-39,Male,France,Master’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",$0 (USD),Local development environments,5-10 years,R,Never,5-10 years
30-34,Female,Kenya,Master’s degree,Statistician,Large,20+,No (we do not use ML methods),"1,000-1,999",$1-$99,Advanced statistical software,3-5 years,R,Never,1-2 years
45-49,Male,Singapore,Master’s degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","250,000-299,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Used TPU,4-5 years
30-34,Male,India,Doctoral degree,Research Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"300,000-500,000",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Other,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$100-$999,Basic statistical software,1-2 years,Python,Used TPU,1-2 years
40-44,Male,India,Professional degree,Business Analyst,Medium,0,No (we do not use ML methods),"15,000-19,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,2-3 years
40-44,Male,Ireland,Bachelor’s degree,Data Analyst,Large,20+,No (we do not use ML methods),"40,000-49,999",$0 (USD),Advanced statistical software,5-10 years,R,Never,3-4 years
40-44,Male,Greece,Master’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",$100-$999,Local development environments,3-5 years,Python,Never,4-5 years
30-34,Male,Germany,Doctoral degree,Data Scientist,Medium,10-14,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$1000-$9,999",Local development environments,3-5 years,SQL,Used TPU,2-3 years
35-39,Male,Ukraine,Master’s degree,Software Engineer,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
25-29,Male,Turkey,Master’s degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999","$10,000-$99,999",Local development environments,5-10 years,Python,Used TPU,4-5 years
55-59,Male,Germany,Master’s degree,Data Scientist,Enterprise,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,4-5 years
30-34,Male,India,Master’s degree,Data Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,4-5 years
30-34,Female,Greece,Master’s degree,Data Scientist,Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
50-54,Male,Italy,Master’s degree,Other,Enterprise,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,3-4 years
35-39,Male,Israel,Master’s degree,Other,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$100-$999,Advanced statistical software,10-20 years,Other,Never,4-5 years
25-29,Male,Israel,Bachelor’s degree,Software Engineer,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Cloud-based data software & APIs,3-5 years,Python,Never,3-4 years
25-29,Male,India,Master’s degree,Data Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","> $100,000 ($USD)",Basic statistical software,< 1 years,Python,Never,< 1 years
25-29,Male,Greece,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 (USD),Basic statistical software,< 1 years,Python,Never,1-2 years
18-21,Male,Russia,Bachelor’s degree,Business Analyst,Large,10-14,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$10,000-$99,999",Local development environments,1-2 years,Python,Never,< 1 years
45-49,Male,Ukraine,No formal education past high school,Software Engineer,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"4,000-4,999","$1000-$9,999",Cloud-based data software & APIs,< 1 years,Python,Never,< 1 years
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$0 (USD),Local development environments,5-10 years,SQL,Never,3-4 years
25-29,Male,United States of America,Bachelor’s degree,Data Engineer,Enterprise,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",$0 (USD),Business intelligence software,3-5 years,Python,Used TPU,2-3 years
40-44,Male,Australia,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,SQL,Never,3-4 years
22-24,Male,India,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","$1000-$9,999",Basic statistical software,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Other,Doctoral degree,Software Engineer,Mid-Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",$0 (USD),Other,5-10 years,Python,Never,4-5 years
40-44,Male,India,Master’s degree,Data Engineer,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",$100-$999,Local development environments,1-2 years,Python,Used TPU,2-3 years
25-29,Female,India,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),$0-999,$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,Business intelligence software,1-2 years,Python,Never,1-2 years
25-29,Male,Russia,Master’s degree,Data Engineer,Mid-Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",$100-$999,Local development environments,5-10 years,Python,Never,1-2 years
22-24,Male,Belarus,Professional degree,Software Engineer,Medium,0,No (we do not use ML methods),"3,000-3,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
40-44,Male,Hong Kong (S.A.R.),Master’s degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$10,000-$99,999",Business intelligence software,3-5 years,R,Never,1-2 years
35-39,Male,France,Doctoral degree,Research Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$100-$999,Local development environments,1-2 years,Python,Never,2-3 years
25-29,Male,Kenya,Master’s degree,Data Analyst,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","$1000-$9,999",Advanced statistical software,< 1 years,Python,Never,< 1 years
35-39,Female,Germany,Doctoral degree,Research Scientist,Mid-Large,0,No (we do not use ML methods),"40,000-49,999",$100-$999,Local development environments,1-2 years,Python,Never,< 1 years
35-39,Male,Russia,Doctoral degree,Product/Project Manager,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$1000-$9,999",Basic statistical software,1-2 years,Python,Never,1-2 years
25-29,Male,Sweden,Master’s degree,Research Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,Python,Never,5-10 years
30-34,Male,Switzerland,Doctoral degree,Research Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$100-$999,Local development environments,5-10 years,Python,Never,3-4 years
25-29,Male,Nigeria,Master’s degree,Software Engineer,Large,20+,No (we do not use ML methods),"4,000-4,999",$1-$99,Other,< 1 years,Python,Never,< 1 years
18-21,Male,Other,Some college/university study without earning a bachelor’s degree,Data Scientist,Small,20+,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,Cloud-based data software & APIs,< 1 years,Python,Used TPU,1-2 years
35-39,Male,Poland,Doctoral degree,Research Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$10,000-$99,999",Other,10-20 years,Other,Never,1-2 years
35-39,Male,Romania,Bachelor’s degree,Data Analyst,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",$100-$999,Local development environments,3-5 years,R,Never,1-2 years
